PCE_ave(%),n(SMILES),p(SMILES)
0.4,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,CC1=CC2=C(C(C3=CC=C(CC(CC)CCCC)S3)=C4C=C(SC4=C2C5=CC=C(CC(CC)CCCC)S5)C6=C7C(C(N(C7=O)CCCCCCCC)=O)=C(S6)C)S1
1.5,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,CC1=CC(CCCCCC)=C(C)S1
1.2,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
0.5,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4)=C2)=C3C=C1
1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1
9.17,O=C(C1=C(N(CCCCCCCCCC)C(C1C2C3=CC=C(S3)C(/C(C4=CC=C(C=C4)N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(C#N)/C#N)=C(C#N)\C#N)=O)C8=CC=CS8)N2CCCCCCCCCC,CC(C1C(C2=C(C(C#CC)=C(N2[B-](F)([N]1=C3C)F)C)C)C4=C(C=C(C=C4C)C)C)=C3C#CC5=CC(CC(CC)CCCC)=C(C)S5
5.3,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C%13=C(C%14=C%15C%16=CC%17C%14C(C(N(C(CC)CC)C%17=O)=O)=C%13)C%18=CC=C%19C%20=C%18C%15=C(N%16CCCCCC)C=C%20C(N(C(CC)CC)C%19=O)=O)S%12)N(CCCCCCCC)C%11=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
1.1,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C(C=C%13C(N(C(CC)CC)C%14=O)=O)=C%15C%16=C%13C%14=CC=C%16C(C=CC=C%17)=C%17S%15)S%12)N(CCCCCCCC)C%11=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
0.2,CCCCCCCCN(C1=O)C(C2=CC=C(C(C=C3C(N(C(CC)CC)C4=O)=O)=C5C6=C3C4=CC=C6C(C=CC=C7)=C7S5)S2)=C8C1=C(C9=CC=C(C(C=C%10C(N(C(CC)CC)C%11=O)=O)=C%12C%13=C%10C%11=CC=C%13C(C=CC=C%14)=C%14S%12)S9)N(CCCCCCCC)C8=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
3.88,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
5.65,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
6.94,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)SCCCCCCCC)=C6C=C(SC6=C4C7=CC=C(S7)SCCCCCCCC)C)=C2S1)C)F)OCC(CCCC)CC
3.55,O=C(N(C(CC)CC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC=C6C7=C5C4=CC=C7C(N(C(CC)CC)C6=O)=O,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
3.2,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C=C(C#N)\C#N)=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C4C9=C2C=C(/C=C(C#N)/C#N)S9,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
2.61,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C(C#N)=C(C#N)\C#N)=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C4C9=C2C=C(/C(C#N)=C(C#N)/C#N)S9,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
3.42,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C7=CC=C(/C(C#N)=C(C#N)\C#N)S7)=C6)(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)C=C4C%10=C2C=C(C%11=CC=C(/C(C#N)=C(C#N)/C#N)S%11)S%10,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
3.6,O=C1C2=C(C=CC(C3=CC=C(C4=C(C=CC=C5C(N(CCC(CCCC)CCCCCC)C6=O)=O)C5=C6C=C4)S3)=C2)C7=CC=C(C8=CC=C(C9=C(C=CC=C%10C(N(CCC(CCCC)CCCCCC)C%11=O)=O)C%10=C%11C=C9)S8)C=C71,CC1=CC(CCCCCC)=C(C)S1
2.5,O=C1C2=C(C=CC(C3=CC=C(C4=C(C=CC=C5C(N(CCC(CCCCCC)CCCCCCCC)C6=O)=O)C5=C6C=C4)S3)=C2)C7=CC=C(C8=CC=C(C9=C(C=CC=C%10C(N(CCC(CCCCCC)CCCCCCCC)C%11=O)=O)C%10=C%11C=C9)S8)C=C71,CC1=CC(CCCCCC)=C(C)S1
0.6,O=C(N(CCC(CCCC)CCCCCC)C1=O)C2=CC=CC(C2=C1C=C3)=C3C(S4)=CC=C4C5=CC6=C(C=C5)C7=CC=C(C8=CC=C(C9=C(C=CC=C%10C(N(CCC(CCCC)CCCCCC)C%11=O)=O)C%10=C%11C=C9)S8)C=C7/C6=C(C#N)/C#N,CC1=CC(CCCCCC)=C(C)S1
7.82,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC=C(C4=CC=C(C5=CC=C(C(SC(C6=CC=C(/C=C7C(C(C=CC=C8)=C8C\7=C(C#N)/C#N)=O)S6)=C9)=C9C%10(CC(CC)CCCC)CC(CC)CCCC)C%10=C5)S4)S3,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
2.54,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC=C(C(S4)=CC5=C4C(SC(C6=CC=C(/C=C7C(C(C=CC=C8)=C8C\7=C(C#N)/C#N)=O)S6)=C9)=C9C(CC(CC)CCCC)5CC(CC)CCCC)S3,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
9.33,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C(C=C(SC8=C9C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C8SC(C=C%13C(C(C=CC=C%14)=C%14/C%13=C(C#N)/C#N)=O)=C%12)C9=C%15)=C%15S7,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
7.43,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC2=C(S1)C(C3=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)=C4)=C2C9=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S9
4.28,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC2=C(S1)C(C3=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S3)=C4C(OC(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S%11
9.8,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(CCCCCC)C=C(C7=C8C(C(N(CCCCCCCC)C8=O)=O)=C(C9=CC(CCCCCC)=C(C)S9)S7)S6
7.17,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(SCCCCCC)C=C%12)C%13=CC=C(SCCCCCC)C=C%13)=C8C=C6C(C%14=CC=C(SCCCCCC)C=C%14)5C%15=CC=C(SCCCCCC)C=C%15,CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
7.49,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(SCCCCCCCC)C=C%12)C%13=CC=C(SCCCCCCCC)C=C%13)=C8C=C6C(C%14=CC=C(SCCCCCCCC)C=C%14)5C%15=CC=C(SCCCCCCCC)C=C%15,CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
8.94,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(SCC(CC)CCCC)C=C%12)C%13=CC=C(SCC(CC)CCCC)C=C%13)=C8C=C6C(C%14=CC=C(SCC(CC)CCCC)C=C%14)5C%15=CC=C(SCC(CC)CCCC)C=C%15,CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
6.85,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC=C(S1)C2=CC=C(S2)C3=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C4=CC5=C(S4)C6=C(C=C(S6)C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S7)C)C8=NON=C58)S3
7.95,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,CC1=CC=C(S1)C2=CC=C(S2)C3=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C4=CC5=C(S4)C6=C(C=C(S6)C7=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S7)C)C8=NON=C58)S3
9.25,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C/4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCCCC)C=C6)C7=C3C=C(N(C(CCCCCCCC)CCCCCCCC)C8=CC9=C(C(C%10=C9SC(/C=C%11C(C(C=CC=C%12)=C%12C/%11=C(C#N)/C#N)=O)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCCCC)C=C%14)C=C%158)C%15=C7,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
5,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C45C(C=C(C6=C(C7=C8C=CC9C7C(C(N(C(CCCCC)CCCCC)C9=O)=O)=C6)C%10=CC=C%11C%12=C%10C8=CC=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)C=C%13)C%13C%14=C4C=C(C%15=C(C%16=CC=C(C%17=O)C%18C%16=C%19C=CC%18C(N%17C(CCCCC)CCCCC)=O)C(C%19=CC=C%20C(N(C(CCCCC)CCCCC)C%21=O)=O)=C%20C%21=C%15)C=C%14)=C(C%22C5C=CC(C(C=C%23C(N(C(CCCCC)CCCCC)C%24=O)=O)=C%25C%26=C%23C%24=CC=C%26C%27=CC=C(C%28=O)C%29C%27=C%25C=CC%29C(N%28C(CCCCC)CCCCC)=O)=C%22)C=C3)=C(C%30=C%31C=CC1C%302)C%32=CC=C%33C%34=C%32C%31=CC=C%34C(N(C(CCCCC)CCCCC)C%33=O)=O,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
6.5,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C4=C(C5=CC=C(C6=O)C7C5=C8C=CC7C(N6C(CCCCC)CCCCC)=O)C(C8=CC=C9C(N(C(CCCCC)CCCCC)C%10=O)=O)=C9C%10=C4)=CC(C(C=C%11C(N(C(CCCCC)CCCCC)C%12=O)=O)=C%13C%14=C%11C%12=CC=C%14C%15=CC=C(C%16=O)C%17C%15=C%13C=CC%17C(N%16C(CCCCC)CCCCC)=O)=C3)=C(C%18=C%19C=CC1C%182)C%20=CC=C%21C%22=C%20C%19=CC=C%22C(N(C(CCCCC)CCCCC)C%21=O)=O,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
7,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC(C7=CC(C8=C(C9=C%10C=CC%11C9C(C(N(C(CCCCC)CCCCC)C%11=O)=O)=C8)C%12=CC=C%13C%14=C%12C%10=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O)=CC(C(C=C%15C(N(C(CCCCC)CCCCC)C%16=O)=O)=C%17C%18=C%15C%16=CC=C%18C%19=CC=C(C%20=O)C%21C%19=C%17C=CC%21C(N%20C(CCCCC)CCCCC)=O)=C7)=CC(C%22=C(C%23=CC=C(C%24=O)C%25C%23=C%26C=CC%25C(N%24C(CCCCC)CCCCC)=O)C(C%26=CC=C%27C(N(C(CCCCC)CCCCC)C%28=O)=O)=C%27C%28=C%22)=C6)C=C%29C%30=C5C4=CC=C%30C(N(C(CCCCC)CCCCC)C%29=O)=O,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
