index,n(SMILES),PCE_ave(%),ROMol,p(SMILES),ROMol
324,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C=C(CCCCCCCCCCCC)C6=C7C(CCCCCCCCCCCC)=CC8=C6SC9=C8C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C9SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)=C7S5)C4(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,7.44,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daa9f0>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa2d0>
325,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(SC5=C6SC7=C5N(C(CCCCCCCC)CCCCCCCC)C8=C7SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)=C6N4C(CCCCCCCC)CCCCCCCC,9.2,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daaa50>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa330>
326,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(SC5=C6SC7=C5N(C(CCCCCCCC)CCCCCCCC)C8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)=C6N4C(CCCCCCCC)CCCCCCCC,12.5,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daaab0>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa390>
327,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=CC=C8)=C8[C@@H]6C9=C7C=CC=C9)C=C5%10)=CC1C32)C%11=CC=C%12C%13=C%11C4=C%10C=C%13C(N(C(CCCCC)CCCCC)C%12=O)=O,2.28,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daab10>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa3f0>
328,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=C(C8=C(C9=C%10C=C(C%11=O)C%12C9=C%13C=CC%12C(N%11C(CCCCC)CCCCC)=O)C(C%13=CC=C%14C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%14C%15=C8)C%10=C%16)=C%16[C@@H]6C%17=C7C=CC=C%17)C=C5%18)=CC1C32)C%19=CC=C%20C%21=C%19C4=C%18C=C%21C(N(C(CCCCC)CCCCC)C%20=O)=O,6.04,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daab70>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa450>
329,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=C(C8=C(C9=C%10C=C(C%11=O)C%12C9=C%13C=CC%12C(N%11C(CCCCC)CCCCC)=O)C(C%13=CC=C%14C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%14C%15=C8)C%10=C%16)=C%16[C@@H]6C%17=C7C=C(C(C=C%18C(N(C(CCCCC)CCCCC)C%19=O)=O)=C%20C%21=C%18C%19=CC=C%21C%22=CC=C(C%23=O)C%24C%22=C%20C%25=CC%24C(N%23C(CCCCC)CCCCC)=O)C%25=C%17)C=C5%26)=CC1C32)C%27=CC=C%28C%29=C%27C4=C%26C=C%29C(N(C(CCCCC)CCCCC)C%28=O)=O,5.13,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daabd0>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa4b0>
330,CCCCC(CC)CC(C1=C2C=CC=C1)C3=C2C=CC(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)=C3,0.1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daac30>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa510>
331,CCCCC(CC)CN1C2=C(SC=C2)C3=C1C=C(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)S3,0.4,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daac90>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa570>
332,CCCCCCN1C2=C(SC=C2)C3=C1C=C(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)S3,0.3,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daacf0>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa5d0>
333,CCC[Si]1(CCC)C2=C(SC(C3=CC=C(F)C=C3)=C2)C4=C1C=C(C5=CC=C(/C=C(C#N)/C#N)C6=NSN=C56)S4,1.5,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daad50>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa630>
334,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(C(C=C(OC5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C(C8=C5C=C(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S8)=C%11)=C%11OC4(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)S3,7.48,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daadb0>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa690>
335,CCN(C/1=O)C(SC1=C\C2=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C%11SC(N(C/%11=O)CC)=S)=C7)=C8C=C3)C%12=NN(CCCCCCCC)N=C2%12)=S,3.08,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daae10>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa6f0>
336,CCN(C/1=O)/C(SC1=C\C2=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C%11S/C(N(C/%11=O)CC)=C(C#N)\C#N)=C7)=C8C=C3)C%12=NN(CCCCCCCC)N=C2%12)=C(C#N)/C#N,0.54,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daae70>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa750>
337,CCCCCCCCN1N=C2C(/C=C(C#N)/C#N)=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C(C#N)\C#N)=C7)=C8C=C3)C2=N1,0.17,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daaed0>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa7b0>
338,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C([Si]4(CCCCCC)CCCCCC)C=C6C([Si](CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,8.13,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daaf30>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa810>
339,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,8.78,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6daaf90>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa870>
342,O=C(N(C(CCCCCCC)CCCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC=C6C7=C5C4=CC=C7C(N(N8C(C9=CC=C%10C%11=C9C(C8=O)=CC=C%11C%12=CC=C(C%13=O)C%14C%12=C%10C=CC%14C(N%13C(CCCCCCC)CCCCCCC)=O)=O)C6=O)=O,3.2,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab030>,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa990>
343,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,6.0,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab090>,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fa9f0>
344,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C(C4=CC5=C6C7=C4C8=CC=C(C(N9C(CCCCCC)CCCCCC)=O)C%10=C8C(C7=CC=C6C(N(C(CCCCCC)CCCCCC)C5=O)=O)=CC=C%10C9=O)C=C%11C=C%12C%13=C%14C%11=C3C(C2=C1C=C%15)=C%15C%14=CC=C%13C(N(C(CCCCCC)CCCCCC)C%12=O)=O,5.1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab0f0>,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52faa50>
345,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,2.9,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab150>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52faab0>
346,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(CC(CC)CCCC)C=C(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,6.08,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab1b0>,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fab10>
347,CCCCCCC(C=C1)=CC=C1C(C2=C3[Se]C(C4=C(CC(CC)CCCC)C(C=C5C(C(C=CC=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10[Se]C(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)=CS%11)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,8.21,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab210>,CC1=CC(C(S1)=C2C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CCCCCC)CCCCCCCC)S9,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fab70>
348,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,11.4,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab270>,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=CC=C(C7=C(C(OCC(CC)CCCC)=O)C=C(C)S7)S6)S5)S4)C8=CC=C(SCCCCCCCC)S8,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fabd0>
349,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,0.01,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab2d0>,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=C(C(OCC(CC)CCCC)=O)C=C(C)S6)S5)S4)C7=CC=C(SCCCCCCCC)S7,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fac30>
350,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,9.37,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab330>,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(SCCCCCCCCCCCC)S9,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fac90>
351,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,10.28,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab390>,CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)S2)=C8C(SC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52facf0>
352,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C=C(/C=C%13C(C(C=C(C)C=C%14)=C%14C\%13=C(C#N)/C#N)=O)S%12,10.76,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab3f0>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fad50>
353,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)\C#N)=O)=C%15)=C%15S%12,10.32,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab450>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fadb0>
354,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C5=C(C)SC=C5C\4=C(C#N)\C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC%10=C8SC%11=C%10SC(/C=C%12C(C%13=C(C)SC=C%13C\%12=C(C#N)\C#N)=O)=C%11)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C9=C7,12.37,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab4b0>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fae10>
355,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6N(CCCCCCCC)C8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(N(CCCCCCCC)C%14=C%15SC(/C=C%16/C(C%17=C(C%16=O)C=C(F)C(F)=C%17)=C(C#N)\C#N)=C%14)=C%15S%13,11.48,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab510>,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fae70>
356,O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=CC=C(C(C7=N8)=C9N=C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%13=C%10C%11=C%12C=C%13)=NC9=C(C7=NC(C%14=C%15C%16=C%17C=C%14)=C8C%15=CC=C%16C(N(C%17=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%18=CC=CC=C%18)S6)C%19=NC%20=C%21C%22=C%23C(C%24=CC=C%23%20)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%24=O)=O)C=C%22)C3=C(C4=NC5=C(C%25=CC=CC=C%25)C%19=N%21)C=C2,4.91,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab570>,CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52faed0>
357,CCCCCCCCCCC(CN(C1=O)C(C2=CC=C3C4=C(C5=C3C2=C1C=C5)N=C6C(C7=CC=CC=C7)=C8N=C(C9=C%10C%11=C%12C=C9)C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=NC8=C(C%13=CC=CC=C%13)C6=N4)=O)CCCCCCCCCCCC,1.39,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab5d0>,CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52faf30>
358,O=C(N(CCCCCCCC)C1=O)C2=C(CCCCCC)C=C(C3=C4C=C(CCCCCC)C1C32)C5=CC(CCCCCC)=C6C7=C5C4=CC(CCCCCC)=C7C(N(CCCCCCCC)C6=O)=O,0.58,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab630>,O=C(N(CC(CCCC)CCCCCC)C(C1=C2SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)=C1)=O)C6=C2SC(C)=C6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52faf90>
359,O=C(N(CCCCCCCC)C1=O)C2=C(CCC3=CC=CC=C3)C=C(C4=C5C=C(CCC6=CC=CC=C6)C1C42)C7=CC(CCC8=CC=CC=C8)=C9C%10=C7C5=CC(CCC%11=CC=CC=C%11)=C%10C(N(CCCCCCCC)C9=O)=O,1.15,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab690>,O=C(N(CC(CCCC)CCCCCC)C(C1=C2SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)=C1)=O)C6=C2SC(C)=C6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fb030>
360,O=C(N(CCCCCCCC)C1=O)C2=C(C3=CC=CC=C3)C=C(C4=C5C=C(C6=CC=CC=C6)C1C42)C7=CC(C8=CC=CC=C8)=C9C%10=C7C5=CC(C%11=CC=CC=C%11)=C%10C(N(CCCCCCCC)C9=O)=O,3.6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab6f0>,O=C(N(CC(CCCC)CCCCCC)C(C1=C2SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)=C1)=O)C6=C2SC(C)=C6,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fb090>
361,S=C(S/1)N(CC)C(C1=C/C2=CC=C(C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(C=C3)C(C4=C5)=CC=C5C(C6=NSN=C67)=CC=C7/C=C8SC(N(C/8=O)CC)=S)C9=NSN=C29)=O,4.11,<rdkit.Chem.rdchem.Mol object at 0x7fe8c6dab750>,CC1=CC(CCCCCC)=C(C)S1,<rdkit.Chem.rdchem.Mol object at 0x7fe8c52fb0f0>
